Player_Name,DOB,Batting_Hand,Bowling_Skill,Country
a ashish reddy,1991-02-24,Right_Hand,Right-arm medium,India
a chandila,1983-12-05,Right_Hand,Right-arm offbreak,India
a chopra,1977-09-19,Right_Hand,Right-arm offbreak,India
a flintoff,1977-12-06,Right_Hand,Right-arm fast-medium,England
a kumble,1970-10-17,Right_Hand,Legbreak googly,India
a mishra,1982-11-24,Right_Hand,Legbreak,India
a mithun,1989-10-25,Right_Hand,Right-arm medium,India
a mukund,1990-01-06,Right_Hand,Legbreak googly,India
a nehra,1979-04-29,Right_Hand,Left-arm medium-fast,India
a nel,1977-07-15,Right_Hand,Right-arm fast-medium,South Africa
a singh,1981-06-21,Right_Hand,Right-arm medium-fast,India
a symonds,1975-06-09,Right_Hand,Right-arm offbreak,Australia
a uniyal,1981-11-21,Right_Hand,Left-arm medium,India
a zampa,1992-03-31,Right_Hand,Legbreak googly,Australia
aa bilakhia,1986-05-31,Right_Hand,Right-arm medium,India
aa chavan,1985-10-28,Right_Hand,Slow left-arm orthodox,India
aa jhunjhunwala,1982-12-01,Right_Hand,Right-arm offbreak,India
aa kazi,1989-09-29,Right_Hand,Slow left-arm orthodox,India
aa noffke,1977-04-30,Right_Hand,Right-arm fast-medium,Australia
ab agarkar,1977-12-04,Right_Hand,Right-arm fast,India
ab barath,1990-04-14,Left_Hand,Right-arm offbreak,India
ab de villiers,1984-02-17,Right_Hand,Right-arm medium,South Africa
ab dinda,1984-03-25,Right_Hand,Right-arm medium-fast,India
ab mcdonald,1981-06-05,Right_Hand,Right-arm fast-medium,Australia
abdur razzak,1982-06-15,Left_Hand,Slow left-arm orthodox,Bangladesh
ac blizzard,1984-06-27,Left_Hand,Left-arm medium,Australia
ac gilchrist,1971-11-14,Left_Hand,Right-arm offbreak,Australia
ac thomas,1977-02-09,Right_Hand,Right-arm fast-medium,England
ac voges,1979-10-04,Right_Hand,Slow left-arm orthodox,Australia
ad mascarenhas,1977-10-30,Right_Hand,Right-arm fast-medium,England
ad mathews,1987-06-02,Right_Hand,Right-arm fast-medium,Sri Lanka
ad nath,1993-05-10,Right_Hand,Right-arm medium-fast,India
ad russell,1988-04-29,Right_Hand,Right-arm fast,West Indies
af milne,1992-04-13,Right_Hand,Right-arm fast,New Zealand
ag murtaza,1990-01-01,Left_Hand,Slow left-arm orthodox,India
ag paunikar,1988-04-18,Right_Hand,,India
aj finch,1986-11-17,Right_Hand,Slow left-arm orthodox,Australia
al menaria,1990-10-29,Left_Hand,Slow left-arm orthodox,India
am nayar,1983-10-08,Left_Hand,Right-arm medium,India
am rahane,1988-06-06,Right_Hand,Right-arm medium,India
am salvi,1981-10-20,Right_Hand,Right-arm medium,India
an ahmed,1988-11-05,Right_Hand,Right-arm medium-fast,India
an ghosh,1986-10-19,Right_Hand,Right-arm medium,India
anand rajan,1987-04-17,Right_Hand,Right-arm medium,India
anirudh singh,1980-08-02,Left_Hand,Right-arm medium,India
ankit sharma,1991-04-20,Left_Hand,Slow left-arm orthodox,India
anureet singh,1988-03-02,Right_Hand,Right-arm medium,India
ap dole,1987-10-09,Right_Hand,Right-arm medium-fast,India
ap majumdar,1984-04-30,Right_Hand,Legbreak googly,India
ap tare,1987-11-07,Right_Hand,,India
ar patel,1994-01-20,Left_Hand,Slow left-arm orthodox,India
as rajpoot,1993-12-04,Right_Hand,Right-arm medium,India
as raut,1987-03-03,Right_Hand,Legbreak googly,India
at rayudu,1985-09-23,Right_Hand,Right-arm offbreak,India
auk pathan,1984-06-17,Right_Hand,Right-arm medium,India
av wankhade,1992-03-14,Right_Hand,,India
azhar mahmood,1975-02-28,Right_Hand,Right-arm fast-medium,Pakistan
b akhil,1977-10-07,Right_Hand,Right-arm medium-fast,India
b aparajith,1994-07-08,Right_Hand,Right-arm offbreak,India
b chipli,1983-01-27,Right_Hand,Right-arm medium,India
b geeves,1982-06-13,Right_Hand,Right-arm fast-medium,Australia
b kumar,1990-02-05,Right_Hand,Right-arm medium,India
b laughlin,1982-10-03,Right_Hand,Right-arm fast-medium,Australia
b lee,1976-11-08,Right_Hand,Right-arm fast,Australia
b sumanth,1988-05-10,Right_Hand,Right-arm medium-fast,India
ba bhatt,1990-05-13,Left_Hand,Slow left-arm orthodox,India
baw mendis,1985-03-11,Right_Hand,Right-arm offbreak,Sri Lanka
bb mccullum,1981-09-27,Right_Hand,Right-arm medium,New Zealand
bb samantray,1988-12-14,Right_Hand,,India
bb sran,1992-12-10,Left_Hand,Left-arm medium,India
bcj cutting,1987-01-30,Right_Hand,Right-arm fast-medium,Australia
be hendricks,1990-06-08,Left_Hand,Left-arm fast-medium,South Africa
bipul sharma,1983-09-28,Left_Hand,Slow left-arm orthodox,India
bj haddin,1977-10-23,Right_Hand,,Australia
bj hodge,1974-12-29,Right_Hand,Right-arm offbreak,Australia
bj rohrer,1981-03-26,Left_Hand,Right-arm offbreak,Australia
bmaj mendis,1983-01-15,Left_Hand,Right-arm offbreak,Sri Lanka
br dunk,1987-03-11,Left_Hand,Right-arm fast,Australia
bw hilfenhaus,1983-03-15,Right_Hand,Right-arm fast,Australia
c ganapathy,1981-06-10,Right_Hand,Right-arm medium,India
c madan,1982-10-15,Right_Hand,,India
c munro,1987-03-11,Left_Hand,Right-arm medium-fast,New Zealand
c nanda,1979-03-29,Right_Hand,Legbreak,India
ca ingram,1985-07-03,Left_Hand,Legbreak,South Africa
ca lynn,1990-04-10,Right_Hand,Slow left-arm orthodox,Australia
ca pujara,1988-01-25,Right_Hand,Legbreak,India
ch gayle,1979-09-21,Left_Hand,Right-arm offbreak,West Indies
ch morris,1987-04-30,Right_Hand,Right-arm fast-medium,South Africa
cj anderson,1990-12-13,Left_Hand,Left-arm medium-fast,New Zealand
cj ferguson,1984-11-21,Right_Hand,Right-arm medium,Australia
cj jordan,1988-10-04,Right_Hand,Right-arm fast-medium,England
cj mckay,1983-02-20,Right_Hand,Right-arm fast-medium,Australia
ck kapugedera,1987-02-24,Right_Hand,Right-arm medium,Sri Lanka
ck langeveldt,1974-12-17,Right_Hand,Right-arm fast-medium,England
cl white,1983-08-18,Right_Hand,Legbreak googly,Australia
cm gautam,1986-03-08,Right_Hand,,India
cr brathwaite,1988-07-18,Right_Hand,Right-arm fast-medium,West Indies
crd fernando,1979-07-19,Right_Hand,Right-arm fast-medium,Sri Lanka
d du preez,1981-11-08,Right_Hand,Right-arm fast-medium,South Africa
d kalyankrishna,1983-12-16,Right_Hand,Right-arm medium-fast,India
d salunkhe,1982-11-12,Right_Hand,Legbreak,India
d wiese,1985-05-18,Right_Hand,Right-arm medium-fast,South Africa
da miller,1989-06-10,Left_Hand,Right-arm offbreak,South Africa
da warner,1986-10-27,Left_Hand,Legbreak,Australia
daj bracewell,1990-09-28,Right_Hand,Right-arm fast-medium,New Zealand
db das,1986-09-22,Right_Hand,Legbreak googly,India
db ravi teja,1987-09-05,Right_Hand,Legbreak googly,India
de bollinger,1981-07-24,Left_Hand,Left-arm fast-medium,Australia
dh yagnik,1983-06-22,Left_Hand,,India
dj bravo,1983-10-07,Right_Hand,Right-arm medium-fast,West Indies
dj harris,1979-12-31,Right_Hand,Right-arm medium,Australia
dj hooda,1995-04-19,Right_Hand,Right-arm offbreak,India
dj hussey,1977-07-15,Right_Hand,Right-arm offbreak,Australia
dj jacobs,1982-11-04,Right_Hand,Right-arm medium,South Africa
dj muthuswami,1981-03-09,Right_Hand,Right-arm medium,India
dj thornely,1978-10-01,Right_Hand,Right-arm medium,Australia
djg sammy,1983-12-20,Right_Hand,Right-arm medium-fast,West Indies
dl chahar,1992-08-07,Right_Hand,Right-arm medium,India
dl vettori,1979-01-27,Left_Hand,Slow left-arm orthodox,New Zealand
dnt zoysa,1978-05-13,Left_Hand,Left-arm fast-medium,Sri Lanka
dp nannes,1976-05-16,Right_Hand,Left-arm fast,Australia
dp vijaykumar,1986-10-20,Right_Hand,Right-arm medium,India
dpmd jayawardene,1977-05-27,Right_Hand,Right-arm medium,Sri Lanka
dr martyn,1971-10-21,Right_Hand,Right-arm medium,Australia
dr smith,1983-04-12,Right_Hand,Right-arm medium,West Indies
ds kulkarni,1988-12-10,Right_Hand,Right-arm medium,India
ds lehmann,1970-02-05,Left_Hand,Slow left-arm orthodox,Australia
dt christian,1983-05-04,Right_Hand,Right-arm fast-medium,Australia
dt patil,1984-12-06,Right_Hand,,India
dw steyn,1983-06-27,Right_Hand,Right-arm fast,South Africa
ejg morgan,1986-09-10,Left_Hand,Right-arm medium,England
er dwivedi,1988-07-22,Right_Hand,,India
f behardien,1983-10-09,Right_Hand,Right-arm fast-medium,South Africa
f du plessis,1984-07-13,Right_Hand,Legbreak,South Africa
fh edwards,1982-02-06,Right_Hand,Right-arm fast,West Indies
fy fazal,1985-09-07,Left_Hand,Right-arm medium,India
g gambhir,1981-10-14,Left_Hand,Legbreak,India
gagandeep singh,1981-10-03,Right_Hand,Right-arm medium-fast,India
gb hogg,1971-02-06,Left_Hand,Slow left-arm chinaman,Australia
gc smith,1981-02-01,Left_Hand,Right-arm offbreak,South Africa
gd mcgrath,1970-02-09,Right_Hand,Right-arm fast-medium,Australia
gh vihari,1993-10-13,Right_Hand,Right-arm offbreak,India
gj bailey,1982-09-07,Right_Hand,Right-arm medium,Australia
gj maxwell,1988-10-14,Right_Hand,Right-arm offbreak,Australia
gr napier,1980-01-06,Right_Hand,Right-arm medium,England
gs sandhu,1993-06-14,Left_Hand,Right-arm fast-medium,Australia
gurkeerat singh,1990-06-29,Right_Hand,Right-arm offbreak,India
h das,1986-12-10,Right_Hand,,India
harbhajan singh,1980-07-03,Right_Hand,Right-arm offbreak,India
harmeet singh,1992-09-07,Left_Hand,Slow left-arm orthodox,India
harpreet singh,1991-08-11,Left_Hand,Right-arm medium,India
hh gibbs,1974-02-23,Right_Hand,Right-arm bowler,South Africa
hh pandya,1993-10-11,Right_Hand,Right-arm medium-fast,India
hm amla,1983-03-31,Right_Hand,Right-arm offbreak,South Africa
hv patel,1990-11-23,Right_Hand,Right-arm medium,India
i malhotra,1984-05-23,Right_Hand,Right-arm medium-fast,India
i sharma,1988-09-02,Right_Hand,Right-arm fast-medium,India
ic pandey,1989-08-15,Right_Hand,Right-arm medium,India
ik pathan,1984-10-27,Left_Hand,Left-arm medium-fast,India
imran tahir,1979-03-27,Right_Hand,Legbreak googly,India
iqbal abdulla,1989-12-02,Left_Hand,Slow left-arm orthodox,India
ir jaggi,1989-01-27,Right_Hand,Legbreak googly,India
ishan kishan,1998-07-18,Left_Hand,,India
j arunkumar,1975-01-18,Right_Hand,Right-arm offbreak,India
j botha,1982-05-02,Right_Hand,Right-arm offbreak,South Africa
j suchith,1994-01-16,Left_Hand,Slow left-arm orthodox,India
j syed mohammad,1983-06-03,Left_Hand,Slow left-arm orthodox,India
j theron,1985-07-24,Right_Hand,Right-arm medium-fast,South Africa
j yadav,1990-01-22,Right_Hand,Right-arm offbreak,India
ja morkel,1981-06-10,Left_Hand,Right-arm medium-fast,South Africa
jaskaran singh,1989-09-04,Right_Hand,Right-arm medium,India
jc buttler,1990-09-08,Right_Hand,,England
jd ryder,1984-08-06,Left_Hand,Right-arm medium,New Zealand
jd unadkat,1991-10-18,Right_Hand,Left-arm medium,India
jdp oram,1978-07-28,Left_Hand,Right-arm fast-medium,New Zealand
jds neesham,1990-09-17,Left_Hand,Right-arm medium,New Zealand
je taylor,1984-06-22,Right_Hand,Right-arm fast,New Zealand
jec franklin,1980-11-07,Left_Hand,Left-arm medium,New Zealand
jh kallis,1975-10-16,Right_Hand,Right-arm fast-medium,South Africa
jj bumrah,1993-12-06,Right_Hand,Right-arm medium,India
jj van der wath,1978-01-10,Right_Hand,Right-arm medium-fast,South Africa
jm kemp,1977-10-02,Right_Hand,Right-arm fast-medium,South Africa
jo holder,1991-11-05,Right_Hand,Right-arm medium-fast,West Indies
joginder sharma,1983-10-23,Right_Hand,Right-arm fast-medium,India
jp duminy,1984-04-14,Left_Hand,Right-arm offbreak,South Africa
jp faulkner,1990-04-29,Right_Hand,Left-arm fast-medium,Australia
jr hopes,1978-10-24,Right_Hand,Right-arm medium,Australia
jw hastings,1985-11-04,Right_Hand,Right-arm fast-medium,Australia
k goel,1986-12-24,Left_Hand,Right-arm offbreak,India
k santokie,1984-12-20,Left_Hand,Left-arm medium,West Indies
k upadhyay,1986-06-18,Right_Hand,Right-arm medium,India
ka pollard,1987-05-12,Right_Hand,Right-arm medium-fast,West Indies
kaj roach,1988-06-30,Right_Hand,Right-arm fast,West Indies
kamran akmal,1982-01-13,Right_Hand,,Pakistan
kamran khan,1991-03-10,Left_Hand,Left-arm medium-fast,India
karanveer singh,1987-11-08,Right_Hand,Legbreak googly,India
kb arun karthik,1986-02-15,Right_Hand,Legbreak googly,India
kc cariappa,1994-04-13,Right_Hand,Legbreak,India
kc sangakkara,1977-10-27,Left_Hand,Right-arm offbreak,Sri Lanka
kd karthik,1985-06-01,Right_Hand,,India
kh devdhar,1989-12-14,Right_Hand,,India
kh pandya,1991-03-24,Left_Hand,Slow left-arm orthodox,India
kj abbott,1987-06-18,Right_Hand,Right-arm fast-medium,South Africa
kk cooper,1989-02-16,Right_Hand,Right-arm medium,West Indies
kk nair,1991-12-06,Right_Hand,Right-arm offbreak,India
kl rahul,1992-04-18,Right_Hand,,India
km jadhav,1985-03-26,Right_Hand,Right-arm offbreak,India
kmdn kulasekara,1982-07-22,Right_Hand,Right-arm fast-medium,Sri Lanka
kp appanna,1988-12-20,Right_Hand,Slow left-arm orthodox,India
kp pietersen,1980-06-27,Right_Hand,Right-arm offbreak,South Africa
ks williamson,1990-08-08,Right_Hand,Right-arm offbreak,New Zealand
kuldeep yadav,1994-12-14,Left_Hand,Slow left-arm chinaman,India
kv sharma,1987-10-23,Left_Hand,Legbreak googly,India
kw richardson,1991-02-12,Right_Hand,Right-arm fast-medium,Australia
l ablish,1982-12-03,Right_Hand,Right-arm medium-fast,India
l balaji,1981-09-27,Right_Hand,Right-arm medium-fast,India
l ronchi,1981-04-23,Right_Hand,Right-arm fast,Australia
la carseldine,1975-11-17,Left_Hand,Legbreak,Australia
la pomersbach,1984-09-28,Left_Hand,Right-arm medium,Australia
lj wright,1985-03-07,Right_Hand,Right-arm medium-fast,England
lmp simmons,1985-01-25,Right_Hand,Right-arm medium-fast,West Indies
lpc silva,1979-12-14,Right_Hand,Legbreak,Sri Lanka
lr shukla,1981-05-06,Right_Hand,Right-arm medium,India
lrpl taylor,1984-03-08,Right_Hand,Right-arm offbreak,New Zealand
m ashwin,1990-09-08,Right_Hand,Legbreak googly,India
m de lange,1990-10-13,Right_Hand,Right-arm fast,South Africa
m kaif,1980-12-01,Right_Hand,Right-arm offbreak,India
m kartik,1976-09-11,Left_Hand,Slow left-arm orthodox,India
m klinger,1980-07-04,Right_Hand,,Australia
m manhas,1979-10-12,Right_Hand,Right-arm offbreak,India
m morkel,1984-10-06,Left_Hand,Right-arm fast,South Africa
