Player_Name,DOB,Batting_Hand,Bowling_Skill,Country
m muralitharan,1972-04-17,Right_Hand,Right-arm offbreak,Sri Lanka
m ntini,1977-07-06,Right_Hand,Right-arm fast,South Africa
m rawat,1985-10-25,Right_Hand,,India
m vijay,1984-04-01,Right_Hand,Right-arm offbreak,India
m vohra,1993-07-18,Right_Hand,Right-arm medium,India
ma agarwal,1991-02-16,Right_Hand,,India
ma khote,1980-04-22,Right_Hand,Right-arm medium,India
ma starc,1990-01-30,Left_Hand,Left-arm fast,Australia
mandeep singh,1991-12-18,Right_Hand,Right-arm medium,India
mashrafe mortaza,1983-10-05,Right_Hand,Right-arm fast-medium,Bangladesh
mb parmar,1988-04-12,Right_Hand,Right-arm offbreak,India
mc henriques,1987-02-01,Right_Hand,Right-arm fast-medium,Australia
mc juneja,1990-09-12,Right_Hand,Right-arm offbreak,India
md mishra,1984-02-09,Right_Hand,Right-arm offbreak,India
mdkj perera,1990-08-17,Left_Hand,,Sri Lanka
mek hussey,1975-05-27,Left_Hand,Right-arm medium,Australia
mf maharoof,1984-09-07,Right_Hand,Right-arm fast-medium,India
mg johnson,1981-11-02,Left_Hand,Left-arm fast,Australia
mg neser,1990-03-29,Right_Hand,Right-arm medium,Australia
misbah-ul-haq,1974-05-28,Right_Hand,Legbreak,Pakistan
mj clarke,1981-04-02,Right_Hand,Slow left-arm orthodox,Australia
mj guptill,1986-09-30,Right_Hand,Right-arm offbreak,New Zealand
mj lumb,1980-02-12,Left_Hand,Right-arm medium,England
mj mcclenaghan,1986-06-11,Left_Hand,Left-arm fast-medium,New Zealand
mk pandey,1989-09-10,Right_Hand,Right-arm medium,India
mk tiwary,1985-11-14,Right_Hand,Legbreak googly,India
ml hayden,1971-10-29,Left_Hand,Right-arm medium,Australia
mm patel,1983-07-12,Right_Hand,Right-arm medium-fast,India
mm sharma,1988-09-18,Right_Hand,Right-arm medium,India
mn samuels,1981-02-05,Right_Hand,Right-arm offbreak,West Indies
mn van wyk,1979-03-20,Right_Hand,Slow left-arm orthodox,South Africa
mohammad ashraful,1984-07-07,Right_Hand,Right-arm offbreak,Bangladesh
mohammad asif,1982-12-20,Left_Hand,Right-arm fast-medium,Pakistan
mohammad hafeez,1980-10-17,Right_Hand,Right-arm offbreak,Pakistan
mohammed shami,1990-09-03,Right_Hand,Right-arm fast-medium,India
mp stoinis,1989-08-16,Right_Hand,Right-arm medium,Australia
mr marsh,1991-10-20,Right_Hand,Right-arm medium,Australia
ms bisla,1984-12-27,Right_Hand,,India
ms dhoni,1981-07-07,Right_Hand,Right-arm medium,India
ms gony,1984-01-04,Right_Hand,Right-arm medium,India
ms wade,1987-12-26,Left_Hand,Right-arm medium,Australia
mustafizur rahman,1995-09-06,Left_Hand,Left-arm fast-medium,Bangladesh
mv boucher,1976-12-03,Right_Hand,Right-arm medium,South Africa
n rana,1993-12-27,Left_Hand,Right-arm offbreak,India
n saini,1988-10-28,Right_Hand,Right-arm fast,India
nd doshi,1978-10-06,Right_Hand,Slow left-arm orthodox,India
nj maddinson,1991-12-21,Left_Hand,Slow left-arm orthodox,Australia
nj rimmington,1982-11-11,Right_Hand,Right-arm fast-medium,Australia
nk patel,1981-03-26,Left_Hand,,India
nl mccullum,1980-09-01,Right_Hand,Right-arm offbreak,New Zealand
nltc perera,1989-04-03,Left_Hand,Right-arm medium-fast,Sri Lanka
nm coulter-nile,1987-10-11,Right_Hand,Right-arm fast,Australia
ns naik,1994-11-09,Right_Hand,,India
nv ojha,1983-07-20,Right_Hand,,India
oa shah,1978-10-22,Right_Hand,Right-arm offbreak,England
p amarnath,1982-06-01,Right_Hand,Right-arm medium,India
p awana,1986-07-19,Right_Hand,Right-arm medium,India
p dharmani,1974-09-27,Right_Hand,,India
p dogra,1984-11-19,Right_Hand,Legbreak,India
p kumar,1986-10-02,Right_Hand,Right-arm medium,India
p negi,1993-01-06,Left_Hand,Slow left-arm orthodox,India
p parameswaran,1985-05-30,Right_Hand,Left-arm medium,India
p prasanth,1985-05-22,Left_Hand,Slow left-arm orthodox,India
p sahu,1985-08-21,Right_Hand,Legbreak googly,India
p suyal,1989-10-15,Right_Hand,Left-arm medium,India
pa patel,1985-03-09,Left_Hand,,India
pa reddy,1991-02-11,Right_Hand,Legbreak,India
pankaj singh,1985-05-06,Right_Hand,Right-arm medium-fast,India
parvez rasool,1989-02-13,Right_Hand,Right-arm offbreak,India
pc valthaty,1983-12-07,Right_Hand,Right-arm medium,India
pd collingwood,1976-05-26,Right_Hand,Right-arm medium,England
pj cummins,1993-05-08,Right_Hand,Right-arm fast,Australia
pj sangwan,1990-11-05,Right_Hand,Left-arm medium,India
pm sarvesh kumar,1989-04-26,Right_Hand,Right-arm medium,India
pp chawla,1988-12-24,Left_Hand,Legbreak,India
pp ojha,1986-09-05,Left_Hand,Slow left-arm orthodox,India
pr shah,1987-11-03,Right_Hand,,India
psp handscomb,1991-04-26,Right_Hand,,Australia
pv tambe,1971-10-08,Right_Hand,Legbreak,India
q de kock,1992-12-17,Left_Hand,,South Africa
r ashwin,1986-09-17,Right_Hand,Right-arm offbreak,India
r bhatia,1979-10-22,Right_Hand,Right-arm medium-fast,India
r bishnoi,1987-10-08,Right_Hand,Right-arm medium-fast,India
r dhawan,1990-02-19,Right_Hand,Right-arm medium-fast,India
r dravid,1973-01-11,Right_Hand,Right-arm offbreak,India
r mclaren,1983-02-09,Left_Hand,Right-arm medium-fast,South Africa
r ninan,1985-11-19,Right_Hand,Right-arm offbreak,India
r rampaul,1984-10-15,Left_Hand,Right-arm fast-medium,West Indies
r sathish,1981-01-14,Right_Hand,Right-arm medium,India
r sharma,1987-04-30,Right_Hand,Right-arm offbreak,India
r shukla,1990-08-28,Right_Hand,Right-arm medium,India
r tewatia,1993-05-20,Left_Hand,Legbreak,India
r vinay kumar,1984-02-12,Right_Hand,Right-arm medium,India
ra jadeja,1988-12-06,Left_Hand,Slow left-arm orthodox,India
ra shaikh,1985-06-12,Left_Hand,Left-arm medium,India
re levi,1988-01-14,Right_Hand,Right-arm medium,South Africa
re van der merwe,1984-12-31,Right_Hand,Slow left-arm orthodox,South Africa
rg more,1992-02-02,Right_Hand,Right-arm medium,India
rg sharma,1987-04-30,Right_Hand,Right-arm offbreak,India
rj harris,1979-10-11,Right_Hand,Right-arm fast,Australia
rj peterson,1979-08-04,Left_Hand,Slow left-arm orthodox,South Africa
rj quiney,1982-08-20,Left_Hand,Right-arm medium,Australia
rn ten doeschate,1980-06-30,Right_Hand,Right-arm medium-fast,Netherlands
rp singh,1985-12-06,Right_Hand,Left-arm fast-medium,India
rr bhatkal,1985-09-01,Right_Hand,Right-arm medium,India
rr bose,1979-02-27,Right_Hand,Right-arm fast-medium,India
rr pant,1997-10-04,Left_Hand,,India
rr powar,1978-05-20,Right_Hand,Right-arm offbreak,India
rr raje,1986-09-03,Right_Hand,Right-arm fast-medium,India
rr rossouw,1989-10-09,Left_Hand,Right-arm offbreak,South Africa
rr sarwan,1980-06-23,Right_Hand,Legbreak,West Indies
rs bopara,1985-05-04,Right_Hand,Right-arm medium,England
rs gavaskar,1976-02-20,Left_Hand,Slow left-arm orthodox,India
rs sodhi,1980-10-18,Right_Hand,Right-arm medium,India
rt ponting,1974-12-19,Right_Hand,Right-arm medium,Australia
rv gomez,1985-10-16,Right_Hand,Right-arm medium,India
rv pawar,1979-09-06,Left_Hand,Slow left-arm orthodox,India
rv uthappa,1985-11-11,Right_Hand,Right-arm medium,India
rw price,1976-06-12,Right_Hand,Slow left-arm orthodox,Zimbabwe
s anirudha,1987-04-14,Right_Hand,,India
s aravind,1984-04-08,Left_Hand,Left-arm medium-fast,India
s badree,1981-03-09,Right_Hand,Legbreak,West Indies
s badrinath,1980-08-30,Right_Hand,Right-arm offbreak,India
s chanderpaul,1974-08-16,Left_Hand,Legbreak,West Indies
s dhawan,1985-12-05,Left_Hand,Right-arm offbreak,India
s gopal,1993-09-04,Right_Hand,Legbreak,India
s kaul,1990-05-19,Right_Hand,Right-arm medium,India
s kaushik,1995-09-07,Right_Hand,Slow left-arm chinaman,India
s ladda,1986-07-10,Right_Hand,Legbreak,India
s nadeem,1989-08-12,Right_Hand,Slow left-arm orthodox,India
s narwal,1982-04-16,Left_Hand,Right-arm medium,India
s rana,1984-09-18,Right_Hand,Right-arm medium-fast,India
s randiv,1985-01-30,Right_Hand,Right-arm offbreak,Sri Lanka
s sohal,1987-11-10,Right_Hand,Legbreak,India
s sreesanth,1983-02-06,Right_Hand,Right-arm fast-medium,India
s sriram,1976-02-21,Left_Hand,Slow left-arm orthodox,India
s tyagi,1987-09-17,Right_Hand,Right-arm medium,India
s vidyut,1981-12-03,Left_Hand,Slow left-arm orthodox,India
sa abbott,1992-02-29,Right_Hand,Right-arm fast-medium,New Zealand
sa asnodkar,1984-03-29,Right_Hand,Right-arm offbreak,India
sa yadav,1990-09-14,Right_Hand,Right-arm offbreak,India
sachin baby,1988-12-18,Left_Hand,Right-arm offbreak,India
salman butt,1984-10-07,Left_Hand,Right-arm offbreak,Pakistan
sandeep sharma,1993-05-18,Right_Hand,Right-arm medium,India
sb bangar,1972-10-11,Right_Hand,Right-arm medium-fast,India
sb jakati,1980-11-27,Left_Hand,Slow left-arm orthodox,India
sb joshi,1970-06-06,Left_Hand,Slow left-arm orthodox,India
sb styris,1975-07-10,Right_Hand,Right-arm medium,New Zealand
sb wagh,1988-10-09,Left_Hand,Left-arm medium-fast,India
sc ganguly,1972-07-08,Left_Hand,Right-arm medium,India
sd chitnis,1987-05-06,Right_Hand,Right-arm offbreak,India
se bond,1975-06-07,Right_Hand,Right-arm fast,New Zealand
se marsh,1983-07-09,Left_Hand,Slow left-arm orthodox,Australia
shahid afridi,1980-03-01,Right_Hand,Legbreak googly,Pakistan
shakib al hasan,1987-03-24,Left_Hand,Slow left-arm orthodox,Bangladesh
shivam sharma,1993-09-09,Right_Hand,Right-arm offbreak,India
shoaib ahmed,1990-08-17,Right_Hand,Right-arm fast-medium,Pakistan
shoaib akhtar,1975-08-13,Right_Hand,Right-arm fast,Pakistan
shoaib malik,1982-02-01,Right_Hand,Right-arm offbreak,Pakistan
sj srivastava,1981-09-22,Right_Hand,Left-arm fast-medium,India
sk raina,1986-11-27,Left_Hand,Right-arm offbreak,India
sk trivedi,1982-09-04,Right_Hand,Right-arm medium,India
sk warne,1969-09-13,Right_Hand,Legbreak googly,Australia
sl malinga,1983-08-28,Right_Hand,Right-arm fast,Sri Lanka
sm boland,1989-04-11,Right_Hand,Right-arm fast-medium,Australia
sm harwood,1974-03-01,Right_Hand,Right-arm fast-medium,Australia
sm katich,1975-08-21,Left_Hand,Slow left-arm chinaman,Australia
sm pollock,1973-07-16,Right_Hand,Right-arm fast-medium,South Africa
smsm senanayake,1985-02-09,Right_Hand,Right-arm offbreak,Sri Lanka
sn khan,1997-10-27,Right_Hand,Legbreak,India
sn thakur,1991-10-16,Right_Hand,Right-arm medium,India
sohail tanvir,1984-12-12,Left_Hand,Left-arm medium-fast,Pakistan
sp fleming,1973-04-01,Left_Hand,,New Zealand
sp goswami,1989-05-18,Left_Hand,,India
sp narine,1988-05-26,Left_Hand,Right-arm offbreak,West Indies
spd smith,1989-06-02,Right_Hand,Legbreak googly,India
sr tendulkar,1973-04-24,Right_Hand,Right-arm offbreak,India
sr watson,1981-06-17,Right_Hand,Right-arm fast-medium,Australia
ss iyer,1994-12-06,Right_Hand,Legbreak googly,India
ss mundhe,1988-10-27,Right_Hand,Right-arm medium,India
ss sarkar,1984-12-15,Right_Hand,Right-arm medium,India
ss shaikh,1987-01-18,Right_Hand,Right-arm medium,India
ss tiwary,1989-12-30,Left_Hand,,India
st jayasuriya,1969-06-30,Left_Hand,Slow left-arm orthodox,Sri Lanka
str binny,1984-06-03,Right_Hand,Right-arm medium,India
sunny gupta,1988-09-27,Right_Hand,Right-arm offbreak,India
sunny singh,1986-12-18,Right_Hand,Right-arm medium-fast,India
sv samson,1994-11-11,Right_Hand,,India
sw billings,1991-06-15,Right_Hand,,England
sw tait,1983-02-22,Right_Hand,Right-arm fast,Australia
swapnil singh,1991-01-22,Right_Hand,Slow left-arm orthodox,India
t henderson,1974-08-01,Right_Hand,Right-arm fast-medium,South Africa
t kohli,1988-12-17,Right_Hand,Right-arm medium,India
t mishra,1986-12-22,Right_Hand,Right-arm fast-medium,India
t shamsi,1990-02-18,Right_Hand,Slow left-arm chinaman,South Africa
t taibu,1983-05-14,Right_Hand,Right-arm medium,Zimbabwe
t thushara,1981-03-01,Left_Hand,Left-arm fast-medium,Sri Lanka
ta boult,1989-07-22,Right_Hand,Left-arm fast-medium,New Zealand
td paine,1984-12-08,Right_Hand,Right-arm medium,Australia
tg southee,1988-12-11,Right_Hand,Right-arm medium-fast,New Zealand
tl suman,1983-12-15,Right_Hand,Right-arm offbreak,India
tm dilshan,1976-10-14,Right_Hand,Right-arm offbreak,Sri Lanka
tm head,1993-12-29,Left_Hand,Right-arm offbreak,Australia
tm srivastava,1989-11-07,Left_Hand,Right-arm medium,India
tp sudhindra,1984-04-24,Left_Hand,Right-arm fast,India
tr birt,1981-12-09,Left_Hand,Right-arm medium,Australia
u kaul,1987-12-02,Left_Hand,,India
ua birla,1989-11-17,Right_Hand,Right-arm medium,India
ubt chand,1993-03-26,Right_Hand,Right-arm offbreak,India
umar gul,1984-04-14,Right_Hand,Right-arm fast-medium,Pakistan
ut khawaja,1986-12-18,Left_Hand,Right-arm medium,Australia
ut yadav,1987-10-25,Right_Hand,Right-arm fast-medium,India
v kohli,1988-11-05,Right_Hand,Right-arm medium,India
v pratap singh,1992-05-03,Right_Hand,Right-arm medium,India
v sehwag,1978-10-20,Right_Hand,Right-arm offbreak,India
v shankar,1991-01-26,Right_Hand,Right-arm medium,India
vh zol,1994-11-23,Left_Hand,Right-arm offbreak,India
vr aaron,1989-10-29,Right_Hand,Right-arm fast,India
vrv singh,1984-09-17,Right_Hand,Right-arm medium-fast,India
vs malik,1983-05-09,Right_Hand,Right-arm medium,India
vs yeligati,1985-04-23,Right_Hand,Right-arm offbreak,India
vvs laxman,1974-11-01,Right_Hand,Right-arm offbreak,India
vy mahesh,1987-12-21,Right_Hand,Right-arm medium-fast,India
w jaffer,1978-02-16,Right_Hand,Right-arm offbreak,India
wa mota,1981-09-20,Right_Hand,Right-arm medium,India
wd parnell,1989-07-30,Left_Hand,Left-arm medium-fast,South Africa
wp saha,1984-10-24,Right_Hand,,India
wpujc vaas,1974-01-27,Left_Hand,Left-arm fast-medium,Sri Lanka
x thalaivan sargunam,1985-05-15,Right_Hand,Right-arm offbreak,India
y gnaneswara rao,1984-08-25,Right_Hand,Right-arm medium,India
y nagar,1990-01-06,Right_Hand,Right-arm offbreak,India
y venugopal rao,1982-02-26,Right_Hand,Right-arm offbreak,India
ya abdulla,1983-01-17,Left_Hand,Left-arm fast-medium,India
yashpal singh,1981-11-27,Right_Hand,Right-arm medium,India
yk pathan,1982-11-17,Right_Hand,Right-arm offbreak,India
younis khan,1977-11-29,Right_Hand,Right-arm medium,Pakistan
ys chahal,1990-07-23,Right_Hand,Legbreak googly,India
yuvraj singh,1981-12-12,Left_Hand,Slow left-arm orthodox,India
yv takawale,1984-11-05,Right_Hand,,India
z khan,1978-10-07,Right_Hand,Left-arm fast-medium,India
